  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.00000000000e+00  9.98230461571e+01  0.00000000000e+00 2.27612983953e+03  -2.11709871557e+04  -1.88948573161e+04 
  5.00000000000e-15  9.94300664339e+01  0.00000000000e+00 2.26716925469e+03  -2.11530652870e+04  -1.88858960323e+04 
  1.00000000000e-14  9.87758837950e+01  0.00000000000e+00 2.25225281323e+03  -2.11232298999e+04  -1.88709770867e+04 
  1.50000000000e-14  9.78627419112e+01  0.00000000000e+00 2.23143167453e+03  -2.10815826929e+04  -1.88501510183e+04 
  2.00000000000e-14  9.66942069188e+01  0.00000000000e+00 2.20478715237e+03  -2.10282854104e+04  -1.88234982580e+04 
  2.50000000000e-14  9.52754470818e+01  0.00000000000e+00 2.17243709170e+03  -2.09635725950e+04  -1.87911355033e+04 
  3.00000000000e-14  9.36135931830e+01  0.00000000000e+00 2.13454408609e+03  -2.08877680306e+04  -1.87532239445e+04 
  3.50000000000e-14  9.17181753077e+01  0.00000000000e+00 2.09132543718e+03  -2.08013046865e+04  -1.87099792493e+04 
  4.00000000000e-14  8.96016256258e+01  0.00000000000e+00 2.04306461893e+03  -2.07047476997e+04  -1.86616830807e+04 
  4.50000000000e-14  8.72798272371e+01  0.00000000000e+00 1.99012379216e+03  -2.05988195005e+04  -1.86086957083e+04 
  5.00000000000e-14  8.47726753947e+01  0.00000000000e+00 1.93295660142e+03  -2.04844255590e+04  -1.85514689575e+04 
  5.50000000000e-14  8.21045994006e+01  0.00000000000e+00 1.87212007500e+03  -2.03626784053e+04  -1.84905583303e+04 
  6.00000000000e-14  7.93049726018e+01  0.00000000000e+00 1.80828397360e+03  -2.02349166152e+04  -1.84266326416e+04 
  6.50000000000e-14  7.64083181507e+01  0.00000000000e+00 1.74223548195e+03  -2.01027145244e+04  -1.83604790425e+04 
  7.00000000000e-14  7.34542066383e+01  0.00000000000e+00 1.67487687468e+03  -1.99678778827e+04  -1.82930010080e+04 
  7.50000000000e-14  7.04867479361e+01  0.00000000000e+00 1.60721392950e+03  -1.98324209060e+04  -1.82252069765e+04 
  8.00000000000e-14  6.75536122818e+01  0.00000000000e+00 1.54033360634e+03  -1.96985216717e+04  -1.81581880654e+04 
